Fecha|Producto|Cantidad|Val Venta|Val Costo|Sub Venta|Sub Costo
2025-02-10 13:07:50 | Manos Libres Batri B10 AzulCielo | 1 | 23000.00 | 7500.00 | 23000.00 | 7500.00
2025-02-11 14:12:41 | Cable Caterpillar V8 | 1 | 15000.00 | 4000.00 | 15000.00 | 4000.00
2025-02-11 19:57:25 | Antena Tdt 5M | 1 | 20000.00 | 9000.00 | 20000.00 | 9000.00
2025-02-11 20:19:38 | Cargador Belkin Tc | 1 | 25000.00 | 7500.00 | 25000.00 | 7500.00
2025-02-12 17:39:27 | Antena Tdt 5M | 1 | 20000.00 | 9000.00 | 20000.00 | 9000.00
2025-02-12 17:46:18 | Forro Cargador Apple con Estuche Negro | 1 | 25000.00 | 11000.00 | 25000.00 | 11000.00
2025-02-12 20:44:54 | Cargador Yl V8 | 1 | 20000.00 | 4500.00 | 20000.00 | 4500.00
2025-02-12 12:54:18 | Cargador Apple 20W Tc Cabeza | 1 | 35000.00 | 9000.00 | 35000.00 | 9000.00
2025-02-13 16:16:22 | Forro Space Oppo Reno 7 | 1 | 20000.00 | 4000.00 | 20000.00 | 4000.00
2025-02-13 18:08:05 | Cable Harvic V8 | 1 | 13000.00 | 3800.00 | 13000.00 | 3800.00
2025-02-12 18:13:04 | Adaptador Hub 4 Puertos 3.0 | 1 | 30000.00 | 10000.00 | 30000.00 | 10000.00
2025-02-12 18:13:31 | Adaptador Plug 3.5 A Media St | 1 | 9000.00 | 2500.00 | 9000.00 | 2500.00
2025-02-12 18:13:50 | Aguja Extractor Sim | 1 | 3000.00 | 2000.00 | 3000.00 | 2000.00
2025-02-12 18:14:34 | Cable Xiaomi Tc A Tc | 1 | 24000.00 | 10000.00 | 24000.00 | 10000.00
2025-02-12 18:14:55 | Cargador Digo V8 | 1 | 12000.00 | 3000.00 | 12000.00 | 3000.00
2025-02-12 18:15:37 | Forro Armadura Tecno Spark Go 2025 / Go 1S Negro | 1 | 20000.00 | 6000.00 | 20000.00 | 6000.00
2025-02-12 18:16:43 | Forro Dise�os Huawei Y9 2019 / Y8S Caballero | 1 | 12000.00 | 3500.00 | 12000.00 | 3500.00
2025-02-12 18:17:07 | Pacha Xiaomi Redmi 12C | 1 | 100000.00 | 38000.00 | 100000.00 | 38000.00
2025-02-12 18:17:29 | Silicone Case Apple Iphone Xr Negro | 1 | 15000.00 | 5000.00 | 15000.00 | 5000.00
2025-02-12 18:18:15 | Silicone Case Motorola Moto G24 / G04 Rojo | 1 | 20000.00 | 7000.00 | 20000.00 | 7000.00
2025-02-12 18:18:34 | Smartphone Tecno Spark Go 1S Gris | 1 | 390000.00 | 290000.00 | 390000.00 | 290000.00
2025-02-12 18:19:02 | Vidrio 5D Apple Iphone 11 / Xr | 1 | 10000.00 | 900.00 | 10000.00 | 900.00
2025-02-14 15:30:08 | Reproductor Tdt Krono | 1 | 64000.00 | 38000.00 | 64000.00 | 38000.00
2025-02-14 16:03:16 | Forro Pin Apple Iphone 11 | 1 | 20000.00 | 9000.00 | 20000.00 | 9000.00
2025-02-14 16:48:39 | Audifonos Bluetooth X15 | 1 | 70000.00 | 15000.00 | 70000.00 | 15000.00
2025-02-14 16:48:56 | Audifonos Bluetooth Harvic Bt-543 Ii Negro | 1 | 65000.00 | 25000.00 | 65000.00 | 25000.00
2025-02-14 17:12:33 | Antena Tdt 5M | 1 | 20000.00 | 9000.00 | 20000.00 | 9000.00
2025-02-18 04:55:11 | Guantes Gamer | 4 | 10000.00 | 2000.00 | 40000.00 | 8000.00
2025-02-18 04:57:43 | Reproductor Tv Stick Magis | 1 | 140000.00 | 75000.00 | 140000.00 | 75000.00
2025-02-21 04:15:14 | Cargador Belkin Tc | 3 | 25000.00 | 7500.00 | 75000.00 | 22500.00
2025-02-21 04:18:21 | Cargador Pc Hp Punta Azul | 1 | 55000.00 | 26000.00 | 55000.00 | 26000.00
2025-02-21 04:18:54 | Cable Caterpillar V8 | 1 | 15000.00 | 4000.00 | 15000.00 | 4000.00
2025-02-21 04:28:24 | Adaptador Spliter Hdmi 1 a 2 | 1 | 45000.00 | 20000.00 | 45000.00 | 20000.00
2025-02-21 04:30:14 | Cable Belkin V8 | 1 | 12000.00 | 7500.00 | 12000.00 | 7500.00
2025-02-21 04:33:26 | Cargador Apple 25W Tc Ligthning | 1 | 55000.00 | 17000.00 | 55000.00 | 17000.00
2025-02-21 04:47:19 | Manos Libres Samsung Akg | 1 | 15000.00 | 3300.00 | 15000.00 | 3300.00
